,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
1973,-0.9297721172912136,0.4153496063395518,0.7022652450929514,5.80,5.73,N/A,N A,-0.860000,N/A,24495750,5.80,5.75,-1.92,5.73,-0.02,-0.35,HIX,58650,N/A
1974,0.4969293465978883,-0.3952847075210474,1.0,N/A,N/A,Quarterly,0.040 CAD,N/A,03/28/2019,14041500,N/A,25.53,2.94,25.53,0.0,0.0,FHQ.F,0,0.627
1975,-0.4032178708320519,-0.46126509097008356,0.5549104753565011,N/A,N/A,Quarterly,0.012 CAD,N/A,12/31/2018,116400000,N/A,24.25,-0.63,24.25,0.0,0.0,MEE,0,1.936
1976,0.6522752123031001,-0.45457333035430897,0.7141527892305,2.54,2.49,N/A,N A,-0.590000,N/A,168039444,2.51,2.50,21.45,2.52,0.02,0.8,STEP,100893,N/A
1977,,,,21.39,21.28,Quarterly,0.372 USD,N/A,02/14/2019,341120000,21.35,21.30,,21.32,0.02,0.09,ENB.PR.V,2100,9.347
1978,0.3314147212971164,-0.023820464019258462,0.8666615915549517,26.36,26.31,Quarterly,0.148 CAD,2.770000,03/25/2019,60559000,26.36,26.23,0.23,26.33,0.1,0.38,CIF,950,2.296
1979,0.1771319013403308,-0.7532367425887809,0.3936206394439433,9.67,9.06,Quarterly,0.070 CAD,0.50,03/28/2019,226658282,9.09,9.10,8.85,9.67,0.57,6.26,BOS,4923,2.896
1980,0.6412695129560761,-0.3755654572172163,0.35815950478949704,8.37,8.33,Monthly,0.032 CAD,0.270000,03/28/2019,1489779704,8.36,8.39,0.36,8.34,-0.05,-0.6,HPR,122072,4.484
1981,-0.9591484923666302,0.34127867558857417,0.9266403093635507,N/A,N/A,N/A,N A,0.280000,N/A,0,N/A,0.00,-16.24,0.0,0.0,0.0,PVG,0,N/A
1982,-0.7613290149061321,0.18538623292517736,0.8218187486861352,14.89,14.89,Semi-Annual,0.140 CAD,1.450000,12/20/2018,513026016,14.89,14.89,-1.62,14.89,0.0,0.0,GBT,700,1.880
1983,0.7930725338127077,0.5266586636120052,0.8564297356578631,10.17,10.04,Monthly,0.058 CAD,0.680000,03/27/2019,246968345,10.04,10.00,3.05,10.16,0.16,1.6,GH,6575,6.900
1984,-0.6143330935607144,-0.5094906155170208,0.010373626177365676,N/A,N/A,Quarterly,0.448 CAD,2.25,03/28/2019,0,N/A,0.00,-0.32,0.0,0.0,0.0,CPX,0,5.713
1985,,,,20.60,20.34,Quarterly,0.306 CAD,N/A,03/14/2019,203400000,20.60,20.55,,20.34,-0.21,-1.02,IFC.PR.G,24298,6.023
